num_chars,num_words,num_unique_words,num_sentences,avg_sentence_length,avg_word_length,lexical_density,type_token_ratio,hapax_legomena,hapax_percentage,author,category,is_machado,file_name
3282,612,242,21,29.142857142857142,4.531531531531532,0.49324324324324326,0.545045045045045,188,42.34234234234234,Machado de Assis,miscel├вnea,1,cartaImprensa.txt
6914,1343,443,53,25.339622641509433,4.366197183098592,0.5181086519114688,0.44567404426559354,329,33.098591549295776,Machado de Assis,miscel├вnea,1,imortais.txt
4046,786,298,31,25.35483870967742,4.368421052631579,0.49575551782682514,0.5059422750424448,229,38.879456706281836,Machado de Assis,miscel├вnea,1,goncalvesDias.txt
8651,1707,545,57,29.94736842105263,4.2722473604826545,0.5098039215686274,0.4110105580693816,396,29.86425339366516,Machado de Assis,miscel├вnea,1,paixao.txt
6316,1187,433,44,26.977272727272727,4.570786516853933,0.5393258426966292,0.48651685393258426,337,37.86516853932584,Machado de Assis,miscel├вnea,1,pedroLuis.txt
3631,705,241,19,37.10526315789474,4.399581589958159,0.497907949790795,0.50418410041841,174,36.40167364016737,Machado de Assis,miscel├вnea,1,secretariaAgricultura.txt
5742,1103,402,47,23.46808510638298,4.404481132075472,0.5283018867924528,0.4740566037735849,301,35.49528301886792,Machado de Assis,miscel├вnea,1,estatua.txt
998,203,97,7,29.0,4.24203821656051,0.49044585987261147,0.6178343949044586,80,50.955414012738856,Machado de Assis,miscel├вnea,1,franciscoOtaviano.txt
2045,420,185,15,28.0,3.99375,0.45625,0.578125,144,45.0,Machado de Assis,cr├нtica,1,ea.txt
13641,2463,728,115,21.417391304347827,4.685132843414358,0.5183719615602035,0.4115319389485585,529,29.90390050876201,Machado de Assis,cr├нtica,1,passadoPresenteFuturo.txt
16453,3143,867,149,21.093959731543624,4.3812033377250765,0.48660518225735616,0.380764163372859,619,27.184892402283705,Machado de Assis,cr├нtica,1,castroAlves.txt
4476,883,304,47,18.78723404255319,4.413476263399693,0.5252679938744257,0.4655436447166922,219,33.537519142419605,Machado de Assis,cr├нtica,1,floresFrutos.txt
5607,1139,374,33,34.515151515151516,4.388206388206388,0.5184275184275184,0.4594594594594595,274,33.660933660933665,Machado de Assis,cr├нtica,1,meridionais.txt
2425,496,194,21,23.61904761904762,4.238505747126437,0.4942528735632184,0.5574712643678161,144,41.37931034482759,Machado de Assis,cr├нtica,1,miragens.txt
9716,1942,585,75,25.893333333333334,4.24578136463683,0.5135730007336757,0.42920029347028615,435,31.914893617021278,Machado de Assis,cr├нtica,1,cenasVida.txt
6030,1109,374,48,23.104166666666668,4.552369077306733,0.516209476309227,0.46633416458852867,270,33.66583541147132,Machado de Assis,cr├нtica,1,discursosAcademia.txt
3947,787,291,24,32.791666666666664,4.275310834813499,0.4991119005328597,0.5168738898756661,227,40.319715808170514,Machado de Assis,cr├нtica,1,oliveiraLimna.txt
6716,1284,397,35,36.68571428571428,4.444444444444445,0.4884488448844885,0.4367436743674367,273,30.033003300330037,Machado de Assis,cr├нtica,1,proposito.txt
